#{"t_start": 1765351638.8422217, "env_id": "None"}
r,l,t
-12.0,2309,2407.445971
-17.0,1957,2413.268249
-9.0,2999,2422.046196
-13.0,2199,2428.231994
-17.0,1937,2434.53146
-12.0,2191,2440.545065
-19.0,1926,2446.052803
-18.0,1755,2451.164246
-15.0,1993,2456.715911
-16.0,1598,2461.225188
-20.0,2003,2466.77771
-16.0,2292,2473.295604
-17.0,1820,2478.477901
-12.0,2528,2485.82483
-18.0,1582,2490.353818
-10.0,2293,2496.797012
-13.0,2305,2503.262868
-14.0,2132,2509.389083
-13.0,2549,2516.558208
-16.0,1698,2521.322289
-11.0,2198,2527.35715
-12.0,2162,2533.410888
-17.0,2077,2539.321843
-19.0,1873,2544.706003
-11.0,2438,2551.333543
-15.0,2127,2557.154327
-12.0,2597,2564.314645
-10.0,2772,2571.934931
-9.0,2597,2579.123986
-16.0,1715,2583.968377
-13.0,2165,2589.98384
-14.0,2049,2595.632538
-20.0,1482,2599.791537
-11.0,2984,2609.089702
-11.0,2578,2616.282061
-17.0,1929,2621.593915
-14.0,2079,2627.277465
-13.0,2588,2635.251531
-14.0,2543,2642.206059
-10.0,2778,2649.771183
-5.0,3316,2659.793131
-10.0,2888,2667.626376
-11.0,2384,2674.099813
-16.0,1654,2678.609149
-17.0,1487,2682.709986
-18.0,1670,2688.432764
-9.0,2881,2697.560326
-15.0,1938,2703.504325
-14.0,2091,2710.057493
-17.0,1571,2714.964372
-17.0,1729,2720.96865
-16.0,1563,2725.484439
-4.0,3613,2736.35242
-11.0,2820,2744.723648
-17.0,1614,2750.538352
-7.0,2964,2759.558131
-8.0,2983,2768.607056
-13.0,2818,2776.761784
-5.0,2748,2785.354074
-10.0,2659,2792.763268
-16.0,2462,2799.550138
